step,phase,n,kernel,dist_ls0,dist_ls1,pos_ls0,pos_ls1,noise_var,LML,train_rmse,train_mae,train_r2
19,warmup,20,"SliceKernel(base=RBF(length_scale=[1e+03, 1.13]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.41, 0.821]), idx=[2, 3]) + WhiteKernel(noise_level=0.00258)",1000,1.1259374,1.4130405,0.82123775,0.0025806654,-5.3116056,0.0024907805,0.0017964939,0.99931544
20,warmup,21,"SliceKernel(base=RBF(length_scale=[1e+03, 0.867]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.29, 0.664]), idx=[2, 3]) + WhiteKernel(noise_level=0.00259)",1000,0.86728185,1.2916195,0.66353433,0.0025860472,-8.6873069,0.0020771502,0.001615394,0.9995021
21,warmup,22,"SliceKernel(base=RBF(length_scale=[4.62, 0.59]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.25, 0.642]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",4.6203741,0.58993585,1.2492255,0.64165184,1e-06,-11.657006,7.3405242e-07,5.0179428e-07,1
22,warmup,23,"SliceKernel(base=RBF(length_scale=[0.00413, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.11, 0.69]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0041287272,26.280307,1.110572,0.68984542,1.2963171e-06,-32.249347,8.5946667e-08,7.4899076e-08,1
23,warmup,24,"SliceKernel(base=RBF(length_scale=[925, 1.68]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.0726, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.073)",925.1849,1.682888,0.072593014,1000,0.072997358,-28.883004,0.014216968,0.010561881,0.98171006
24,warmup,25,"SliceKernel(base=RBF(length_scale=[0.01, 575]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.751, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1.2e-06)",0.0099970338,575.26002,0.75061775,1000,1.1954556e-06,-33.467799,1.1565207e-07,9.4085164e-08,1
25,warmup,26,"SliceKernel(base=RBF(length_scale=[1.51, 1.85]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.000662, 0.000368]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1.5056736,1.8492518,0.00066159271,0.00036772398,1e-06,-34.348147,7.5983469e-08,5.4408151e-08,1
26,warmup,27,"SliceKernel(base=RBF(length_scale=[1e+03, 1.09]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.00066, 0.000303]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,1.0905239,0.00065976322,0.000303034,1e-06,-35.026023,7.67962e-08,5.665123e-08,1
27,warmup,28,"SliceKernel(base=RBF(length_scale=[2.61, 0.661]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.34, 0.485]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",2.6091288,0.6607842,1.336919,0.4853658,1e-06,-20.97816,1.0761481e-06,8.6613915e-07,1
28,warmup,29,"SliceKernel(base=RBF(length_scale=[1.26, 2.08]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.057, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1.2580806,2.0777002,0.056950844,1000,1e-06,-31.094529,3.8361759e-07,2.493627e-07,1
29,warmup,30,"SliceKernel(base=RBF(length_scale=[1e+03, 1.16]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.000622, 0.00139]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,1.1642081,0.00062172171,0.0013906572,1e-06,-38.837827,7.6694368e-08,5.6073971e-08,1
30,warmup,31,"SliceKernel(base=RBF(length_scale=[2.48, 0.707]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.52, 0.682]), idx=[2, 3]) + WhiteKernel(noise_level=0.00227)",2.482605,0.70706261,1.5236073,0.68154267,0.0022681156,-15.849164,0.0027265886,0.0021014345,0.99954329
31,warmup,32,"SliceKernel(base=RBF(length_scale=[1e+03, 0.49]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.08, 0.469]), idx=[2, 3]) + WhiteKernel(noise_level=1.21e-06)",1000,0.4903586,1.0760502,0.46856311,1.2085128e-06,-22.026573,1.0328017e-06,8.2203645e-07,1
32,warmup,33,"SliceKernel(base=RBF(length_scale=[6.03, 0.567]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.28, 0.4]), idx=[2, 3]) + WhiteKernel(noise_level=1.19e-06)",6.0293234,0.56706389,1.2772841,0.40033275,1.1937509e-06,-21.330558,9.2656609e-07,7.2033168e-07,1
33,warmup,34,"SliceKernel(base=RBF(length_scale=[0.72, 2.71]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.95, 0.367]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.7195847,2.7114761,0.9497731,0.36743973,1.2999141e-06,-27.038286,1.1406396e-06,9.1266079e-07,1
34,warmup,35,"SliceKernel(base=RBF(length_scale=[3.54, 0.526]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.25, 0.428]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.5357545,0.52556204,1.2482593,0.42769519,1e-06,-20.50489,1.0150255e-06,7.6634603e-07,1
34,active,35,"SliceKernel(base=RBF(length_scale=[3.54, 0.526]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.25, 0.428]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.5357545,0.52556204,1.2482593,0.42769519,1e-06,-20.50489,1.0150255e-06,7.6634603e-07,1
35,active,36,"SliceKernel(base=RBF(length_scale=[3.64, 0.43]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.05, 0.412]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.6396488,0.42986026,1.0486191,0.41218312,1e-06,-19.424761,1.4270584e-06,1.0491128e-06,1
36,active,37,"SliceKernel(base=RBF(length_scale=[3.59, 0.397]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.941, 0.404]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.590904,0.39708089,0.94134727,0.40428929,1e-06,-21.027296,1.3854987e-06,1.005475e-06,1
37,active,38,"SliceKernel(base=RBF(length_scale=[3.62, 0.327]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.944, 0.396]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.6223737,0.32664444,0.94433691,0.39624035,1e-06,-22.252295,1.405582e-06,1.0032655e-06,1
38,active,39,"SliceKernel(base=RBF(length_scale=[3.59, 0.279]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.931, 0.409]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",3.5938451,0.27910347,0.93068456,0.40859649,1e-06,-22.574704,1.5642093e-06,1.1013902e-06,1
39,active,40,"SliceKernel(base=RBF(length_scale=[3.3, 0.336]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.36, 0.717]), idx=[2, 3]) + WhiteKernel(noise_level=0.00797)",3.3040667,0.3356596,1.3576274,0.71665336,0.0079682992,-18.995041,0.0087393232,0.0062720158,0.99714046
40,active,41,"SliceKernel(base=RBF(length_scale=[2.85, 0.276]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.37, 0.718]), idx=[2, 3]) + WhiteKernel(noise_level=0.0083)",2.8543416,0.27626296,1.3679518,0.71821608,0.0083006825,-21.240465,0.0087015566,0.0061347691,0.99709474
41,active,42,"SliceKernel(base=RBF(length_scale=[2.76, 0.253]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.37, 0.718]), idx=[2, 3]) + WhiteKernel(noise_level=0.00846)",2.7600132,0.25290066,1.3694946,0.71765386,0.0084551307,-22.504648,0.0086364239,0.0060189138,0.99709344
42,active,43,"SliceKernel(base=RBF(length_scale=[2.81, 0.243]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.3, 0.714]), idx=[2, 3]) + WhiteKernel(noise_level=0.00843)",2.8057519,0.24282817,1.2990951,0.71421085,0.0084251995,-24.098341,0.0083820425,0.0058023531,0.99719816
43,active,44,"SliceKernel(base=RBF(length_scale=[2.62, 0.247]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.12, 0.716]), idx=[2, 3]) + WhiteKernel(noise_level=0.00867)",2.6200919,0.24662273,1.1230888,0.71642107,0.0086678016,-26.896978,0.0082262973,0.0056461847,0.997257
44,active,45,"SliceKernel(base=RBF(length_scale=[2.4, 0.253]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.12, 0.713]), idx=[2, 3]) + WhiteKernel(noise_level=0.0094)",2.4031884,0.25306403,1.123541,0.71311787,0.0093957054,-28.939186,0.0085039062,0.0057936706,0.99700254
45,active,46,"SliceKernel(base=RBF(length_scale=[1.75, 0.251]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.16, 0.722]), idx=[2, 3]) + WhiteKernel(noise_level=0.0101)",1.7516322,0.25065743,1.1644106,0.72175701,0.010132911,-31.746877,0.0086546725,0.0057762677,0.99682686
46,active,47,"SliceKernel(base=RBF(length_scale=[1.22, 0.275]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.13, 0.724]), idx=[2, 3]) + WhiteKernel(noise_level=0.01)",1.2174131,0.27466497,1.1313162,0.72426142,0.010044967,-33.417461,0.0084478495,0.0056354662,0.9970249
