step,phase,M,acq_mean,acq_std,acq_min,acq_max,mu_mean,mu_std,mu_min,mu_max,sd_mean,sd_std,sd_min,sd_max,chosen_acq,chosen_mu,chosen_sd
35,active,1690,0.226177274145174,0.07756866286545099,0.022882614603350174,0.35408295688349795,1.513674319983372,0.13842703689901256,1.0768142312801314,1.8587569931073433,0.0007480370162640157,0.00017532543989656242,0.0002163992082253203,0.0010150192915576116,0.35408295688349795,1.6269168756167556,0.0010150192915576116
36,active,1689,0.3436648188699993,0.11580602415380875,0.009947813312650338,0.5537303147141677,1.5670386654619248,0.19464105712137944,1.0532060312392098,2.1255180361879527,0.000989457322741296,0.0002445096452684741,0.00014175635339118488,0.0014236090787613507,0.5537303147141677,1.6709161868054543,0.0014236090787613507
37,active,1688,0.30896848159087537,0.10453420403016098,0.00935584875141253,0.5247239933803856,1.5752492743573836,0.19637714439207862,1.0542783439918861,2.1260530849714696,0.0009190257386004548,0.00022219025531519372,0.00013743310501951412,0.001362378101748021,0.5247239933803856,1.680772017348559,0.001362378101748021
38,active,1687,0.2879069876423527,0.09329709250911104,0.009579974741007625,0.5119233673195313,1.5958946642779204,0.20285238157745622,1.0538442561856374,2.1260393746189323,0.0008765437711109717,0.00020000312560415322,0.00013908515101249103,0.0013356208491368312,0.5119233673195313,1.5215153864865942,0.0013356208491368312
39,active,1686,0.31004436190474033,0.09659586524768991,0.011369756718516085,0.5087743063188818,1.5719209976473616,0.2135737191088399,1.0221212970633191,2.126169062238569,0.0009219966035398194,0.0002049385008370791,0.00015165759814891105,0.0013290616671328697,0.5087743063188818,1.7526150588775573,0.0013290616671328697
40,active,1685,0.15256386617473724,0.06530896802499649,0.007783442583074414,0.3121740473455094,1.5716085121290881,0.22046480419481668,1.0452929023635344,2.123687069215461,0.05233299464577268,0.014041370527405917,0.011180880953155196,0.08311884262044808,0.3121740473455094,1.425146202041321,0.08311884262044808
41,active,1684,0.1362234683091753,0.05591018779587993,0.0061330097427799,0.2638801723591615,1.5898902128773251,0.22218044866754366,1.0418384401297947,2.123557884802879,0.050015937512302745,0.012872098204865024,0.010121429472821446,0.075960951976729,0.2638801723591615,1.74034575709305,0.075960951976729
42,active,1683,0.12231505820326372,0.0519306839004493,0.005899788331429804,0.23451883081455518,1.5900401781412248,0.2220907097104869,1.0425129585690542,2.1235139937460414,0.04739723896779334,0.012443277396476325,0.010017878447746178,0.07113379581933059,0.23451883081455518,1.759156434134821,0.07113379581933059
43,active,1682,0.10316165352365916,0.044683619082760175,0.005552988847923364,0.20304426056749236,1.577421963866213,0.21985129692124758,1.0407762797382274,2.1232401460281567,0.04298263517410648,0.01116259443812718,0.009700082498324013,0.06496522752012784,0.20304426056749236,2.013315099586352,0.06496522752012784
44,active,1681,0.08722225784957219,0.03347913871021176,0.005252199486405793,0.16957247364580977,1.5391921770687425,0.20566727324693743,1.0458595943729492,2.122933287143206,0.03990605415031507,0.009087351828317288,0.009567127979178743,0.0591573929870776,0.16957247364580977,1.8283295202708083,0.0591573929870776
