step,phase,M,acq_mean,acq_std,acq_min,acq_max,mu_mean,mu_std,mu_min,mu_max,sd_mean,sd_std,sd_min,sd_max,chosen_acq,chosen_mu,chosen_sd
35,active,1690,1.5144223569996358,0.13852543258469777,1.0770931161648944,1.8595511219543281,1.513674319983372,0.13842703689901256,1.0768142312801314,1.8587569931073433,0.0007480370162640157,0.00017532543989656242,0.0002163992082253203,0.0010150192915576116,1.8595511219543281,1.8587569931073433,0.0007941288469848476
36,active,1689,1.453982322094411,0.14828208824173467,1.0669273595470883,1.8111774271327559,1.4533381623099366,0.14818334312813647,1.0664999159745268,1.810481780246765,0.0006441597844742758,0.00016998152732550613,0.00017022930714548966,0.0009281287021937675,1.8111774271327559,1.810481780246765,0.0006956468859908126
37,active,1688,1.4082762433221196,0.13245243217229263,1.0690651980582944,1.757450083338217,1.4077072316657946,0.1323727554636511,1.068706991126863,1.7567136958811913,0.0005690116563252204,0.00017148995293930847,7.932642175694554e-05,0.000893159630721715,1.757450083338217,1.7567136958811913,0.0007363874570257515
38,active,1687,1.395041973662253,0.12273018997371184,1.0713034043901248,1.7297307569868254,1.3945241987818702,0.12269052868993742,1.0708919712704983,1.7290697002591575,0.000517774880382832,0.00014995534461569659,7.76921606261898e-05,0.0008524157506752258,1.7297307569868254,1.7290697002591575,0.0006610567276679772
39,active,1686,1.3956570734318154,0.12872368840223003,1.0627600885434838,1.849525291291887,1.3951253000275579,0.1286949095767039,1.0623344175391205,1.8492233603780006,0.0005317734042570982,0.00016033088734238886,7.979605165081513e-05,0.0008985056040238848,1.849525291291887,1.8492233603780006,0.00030193091388637804
40,active,1685,1.4103403471289055,0.16118043834227652,1.0676211368603266,1.9553233253772773,1.3572601260887438,0.1601849241100673,1.0253255004569533,1.9317663882299423,0.053080221040161815,0.017143935894720845,0.017744676412920282,0.09902737205705585,1.9553233253772773,1.9317663882299423,0.023556937147335005
41,active,1684,1.4032304367396526,0.16853297173202855,1.047446794421312,1.965544413878033,1.3500220249533963,0.16760671152145964,1.0050150213112081,1.9468314489278247,0.053208411786256474,0.0184245171638492,0.013783270635377992,0.10155778425049956,1.965544413878033,1.9468314489278247,0.018712964950208136
42,active,1683,1.3960499341926194,0.1710323335836882,1.0362756243883064,1.911640311557018,1.3426140335758459,0.1701375984732563,0.991351777445947,1.8959198719094403,0.05343590061677381,0.01925559524881661,0.012797768763631869,0.10466722234697313,1.911640311557018,1.8954246029011923,0.01621570865582569
43,active,1682,1.3899871182756838,0.17082555078587666,1.0288815894128809,1.9108910301166233,1.3363661016122155,0.1699175630989897,0.9826763272084398,1.8983941817240881,0.053621016663468114,0.019745037420760655,0.012476504154691039,0.10733718366613605,1.9108910301166233,1.8983941817240881,0.012496848392535068
44,active,1681,1.4384688525155507,0.16411172918936498,1.0796584539791745,1.9291990892864852,1.3821687189460425,0.16282686224684229,1.0350949094896702,1.9204054534956687,0.056300133569507804,0.017482735865013765,0.00834073863725667,0.09345123395818286,1.9291990892864852,1.9204054534956687,0.008793635790816462
45,active,1680,1.4420860164462272,0.1699222739275555,1.0732680247441004,1.9159050246587168,1.385107402032666,0.1688084400824445,1.0234284880132187,1.9080816761901453,0.05697861441356137,0.017933095570353257,0.0078233484685715,0.09452499703598827,1.9159050246587168,1.9080816761901453,0.0078233484685715
46,active,1679,1.4416592660495986,0.17285411355485306,1.0688202355547942,1.905467850837908,1.384372216645978,0.17169656542090167,1.0183452009242902,1.8967050043639655,0.05728704940362064,0.018365334446009903,0.008445531410341845,0.09527478699465575,1.905467850837908,1.8967050043639655,0.008762846473942468
47,active,1678,1.4507221308016405,0.1810086642042234,1.0579096821094367,1.9091374771585803,1.3926521723720053,0.18014361267968865,1.0062628709186296,1.9017121836057083,0.05806995842963527,0.018624285768647452,0.00742529355287203,0.09608705161183839,1.9091374771585803,1.9017121836057083,0.00742529355287203
48,active,1677,1.4499512800359031,0.18307832099216065,1.0541796961832788,1.8950928465748875,1.3916850920324864,0.18210858239593133,1.002342494404565,1.8871945918325688,0.05826618800341685,0.018968422701034677,0.007353917897771811,0.09684157288241224,1.8950928465748875,1.8871945918325688,0.007898254742318742
49,active,1676,1.4596148809326959,0.19062915460555363,1.0495238751264966,1.90548889928019,1.4001439701088698,0.18967290883138666,0.9911038974424744,1.8977575985979018,0.0594709108238263,0.01942987399330923,0.007404049020863726,0.09809526518929894,1.90548889928019,1.8977575985979018,0.00773130068228808
