field,step,phase,M,acq_mean,acq_std,acq_min,acq_max,mu_mean,mu_std,mu_min,mu_max,sd_mean,sd_std,sd_min,sd_max,chosen_acq,chosen_mu,chosen_sd
0,35,active,1690,0.17732065618505935,0.13255284458191144,0.004262044257823214,0.42499971229161737,1.6443423599805538,0.11384409119804602,1.291478945774721,1.9345307398458127,0.054380099404352136,0.028255480322213464,0.008205782226055213,0.1026513839030556,0.42499971229161737,1.5211700328111275,0.1026513839030556
0,36,active,1689,0.14314352456482504,0.10368394185190226,0.0039896400605311634,0.36410204439664035,1.658876649950089,0.10481966799300885,1.3064811754790944,1.934894080329629,0.04840981001080876,0.023612343719428133,0.008024246740265993,0.0927945923199004,0.36410204439664035,1.6772789443256073,0.0927945923199004
0,37,active,1688,0.13631566092058098,0.0998709879051633,0.00399010353943888,0.34266570400019786,1.6668873229369174,0.10773893182757795,1.3093734805058221,1.9465449134761124,0.04680680842270588,0.022875960592030932,0.007992054030495936,0.08858834706358436,0.34266570400019786,1.649225894833227,0.08858834706358436
0,38,active,1687,0.172527914702988,0.12369916958794841,0.0050657480118096385,0.45223507492927145,1.665999086759065,0.13368955208069896,1.2792096608886205,2.123765286173669,0.047580543667647475,0.023403423350307172,0.007916047056557834,0.09513082030503957,0.45223507492927145,1.6979375097573244,0.09513082030503957
0,39,active,1686,0.14772552462279293,0.10729202682666912,0.004789578815838133,0.38872575055869524,1.6639068240710182,0.1337473518676477,1.2792070014442254,2.1234992068113767,0.04375688191231054,0.02117195384479703,0.0077775906298532885,0.0859665325400566,0.38872575055869524,1.6093513307150171,0.0859665325400566
0,40,active,1685,0.10264579718403194,0.07304975545927114,0.004685917615401998,0.28755924546060885,1.645654203971016,0.15096862401637443,1.2442080142137248,2.1236043598595398,0.03614015657646729,0.016273375692259458,0.007828108969061581,0.07112659696184911,0.28755924546060885,1.8829715501347597,0.07112659696184911
0,41,active,1684,0.10440698464568648,0.0728429004195605,0.004278787808198341,0.31139193022579703,1.628828888377395,0.13494979712704516,1.2505408051286016,2.1131767949045317,0.036579159927975766,0.01617738447472141,0.007480646507940846,0.07500989346237293,0.31139193022579703,1.8409625738499233,0.07500989346237293
0,42,active,1683,0.07790728081934396,0.05426454628609629,0.0043341379509186945,0.22068234622887745,1.6373445425486068,0.1387549004676165,1.2480909419191715,2.1119701445435743,0.030676670775841373,0.013109709019909679,0.0074272425520380166,0.059292322121165454,0.22068234622887745,1.360660655968673,0.059292322121165454
0,43,active,1682,0.028948639139702127,0.0272183873471625,0.004871655645550013,0.15012293598922283,1.6542172768999222,0.13395870268456536,1.2294192713878487,2.1087926512828803,0.02136712620155383,0.01019003628960841,0.009466702096352721,0.056615979536968286,0.15012293598922283,1.7224567088142555,0.056615979536968286
0,44,active,1681,0.02598472376541567,0.02318808620126045,0.004911596362989641,0.1213274735703646,1.6551792956731226,0.1372273651364966,1.2258806120987327,2.107767878599661,0.020459052221962627,0.009066673987161591,0.009523349248867599,0.05023066800850471,0.1213274735703646,1.5913975208819588,0.05023066800850471
0,45,active,1680,0.04934651652943084,0.03606159454859898,0.004120800997614467,0.1623447668192358,1.6602658576650344,0.12900589723819725,1.2697190140292889,2.113067313537797,0.024202401805013374,0.009927787119755848,0.0072865823881897015,0.049609231699560906,0.1623447668192358,1.8187845671424796,0.049609231699560906
0,46,active,1679,0.04180162211818524,0.030071146506497146,0.004138826242920693,0.1304612568207059,1.6620558728653527,0.1309046843454203,1.26490496167369,2.1124953356104985,0.022418166936248627,0.008894657852894804,0.007362302174110889,0.04409216236454655,0.1304612568207059,1.5553817632404339,0.04409216236454655
0,47,active,1678,0.02020747324054458,0.016680565477126482,0.004893542972522825,0.10423706475714827,1.656069667509506,0.14319900974136673,1.2221138176226087,2.1064376696418576,0.01712162826838293,0.006813195754250033,0.008934830561721818,0.0433760596967485,0.10423706475714827,1.571137756831783,0.0433760596967485
0,48,active,1677,0.015461505163892027,0.00886638178782144,0.005038463702687726,0.04255193185976557,1.654275224740708,0.14807280180275115,1.2240239156451234,2.1112641447689136,0.016464814798537227,0.00473246626952278,0.009703337752639991,0.028737056109761985,0.04255193185976557,1.6684810056522639,0.028737056109761985
0,49,active,1676,0.011864089363793875,0.006178546234838803,0.0048522088506611815,0.0381462748854714,1.6448326890834981,0.14309456034082285,1.225717927160661,2.113051263427488,0.014778034802983897,0.003613991086404966,0.009679323190479653,0.027598332231679675,0.0381462748854714,1.6521428550112451,0.027598332231679675
