step,phase,n,kernel,dist_ls0,dist_ls1,pos_ls0,pos_ls1,noise_var,LML,train_rmse,train_mae,train_r2
0,warmup,1,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-1.2655124,0,0,nan
1,warmup,2,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-3.0310246,5.1110456e-09,5.1110456e-09,1
2,warmup,3,"SliceKernel(base=RBF(length_scale=[3.02, 0.00101]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[463, 0.638]), idx=[2, 3]) + WhiteKernel(noise_level=2.2e-06)",3.0161098,0.001008029,462.77323,0.63818193,2.2006444e-06,-4.4915065,1.8951265e-08,1.7075497e-08,1
3,warmup,4,"SliceKernel(base=RBF(length_scale=[4.06, 1.93]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 2.79]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",4.0589758,1.9267794,1000,2.7889089,1e-06,-4.3314384,2.7736844e-08,2.3432025e-08,1
4,warmup,5,"SliceKernel(base=RBF(length_scale=[1e+03, 2.23]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 1.19]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,2.22915,1000,1.1897092,1e-06,-5.242669,3.5590748e-08,2.8149853e-08,1
5,warmup,6,"SliceKernel(base=RBF(length_scale=[1e+03, 2.65]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 0.719]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,2.6507318,1000,0.71880742,1e-06,-6.6942334,3.4314822e-08,2.92848e-08,1
6,warmup,7,"SliceKernel(base=RBF(length_scale=[2.25, 2.87]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.11, 1.17]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",2.2506891,2.8687697,1.1060139,1.1693478,1e-06,-7.0022609,9.1265291e-08,7.0980914e-08,1
7,warmup,8,"SliceKernel(base=RBF(length_scale=[3.67, 3.24]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.33, 404]), idx=[2, 3]) + WhiteKernel(noise_level=0.00685)",3.6724095,3.236819,1.3267996,403.89982,0.0068464819,-5.3711595,0.0025893947,0.0022884531,0.99821113
8,warmup,9,"SliceKernel(base=RBF(length_scale=[4.09, 4.17]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.06, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.00359)",4.0947738,4.1743439,1.0608709,1000,0.0035916723,-3.4623722,0.0023927627,0.0019996887,0.99909292
9,warmup,10,"SliceKernel(base=RBF(length_scale=[3.68, 4.4]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.851, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.00332)",3.6810902,4.4018802,0.85115022,1000,0.0033198026,-3.856933,0.0022481672,0.001769449,0.99919116
10,warmup,11,"SliceKernel(base=RBF(length_scale=[1.82, 5.4]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.1, 0.986]), idx=[2, 3]) + WhiteKernel(noise_level=0.00472)",1.8210961,5.3959247,1.0995471,0.98551043,0.004716084,-5.708173,0.0025234935,0.0020472039,0.99888059
11,warmup,12,"SliceKernel(base=RBF(length_scale=[1.41, 6.16]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.42, 0.75]), idx=[2, 3]) + WhiteKernel(noise_level=0.00605)",1.4077715,6.1571028,1.4201072,0.75037196,0.0060492348,-6.436747,0.003137586,0.0026988433,0.99830925
