step,phase,n,kernel,dist_ls0,dist_ls1,pos_ls0,pos_ls1,noise_var,LML,train_rmse,train_mae,train_r2
0,warmup,1,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-1.2655124,0,0,nan
1,warmup,2,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-3.0310246,5.1110456e-09,5.1110456e-09,1
2,warmup,3,"SliceKernel(base=RBF(length_scale=[1e+03, 2.04]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.94, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,2.0411112,1.9426565,1000,1e-06,-3.8344888,2.1482866e-08,1.8941923e-08,1
3,warmup,4,"SliceKernel(base=RBF(length_scale=[1e+03, 2.65]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[2.59, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,2.6481236,2.5927796,1000,1e-06,-1.9440767,1.1975908e-07,9.4978403e-08,1
4,warmup,5,"SliceKernel(base=RBF(length_scale=[1e+03, 2.11]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.35, 4.05]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,2.1113562,1.3474987,4.0477759,1e-06,-4.1834902,1.1756321e-07,1.08635e-07,1
5,warmup,6,"SliceKernel(base=RBF(length_scale=[1e+03, 1.67]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.13, 1.21]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,1.6666604,1.1300469,1.2066266,1e-06,-5.712227,7.8690245e-08,7.0625384e-08,1
6,warmup,7,"SliceKernel(base=RBF(length_scale=[1e+03, 1.86]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.757, 4.87]), idx=[2, 3]) + WhiteKernel(noise_level=0.00896)",1000,1.8583513,0.7569433,4.8697964,0.0089581675,-5.9622723,0.0013118694,0.001090536,0.99840393
7,warmup,8,"SliceKernel(base=RBF(length_scale=[2.16, 2.28]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 0.495]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",2.1605101,2.2807951,1000,0.49457175,1e-06,-5.5769013,3.8718081e-07,2.9652262e-07,1
8,warmup,9,"SliceKernel(base=RBF(length_scale=[1e+03, 2.56]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 1.22]), idx=[2, 3]) + WhiteKernel(noise_level=0.0059)",1000,2.5578954,1000,1.2177003,0.0058988098,-2.1980922,0.003819921,0.0030052643,0.99768816
9,warmup,10,"SliceKernel(base=RBF(length_scale=[3, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 0.934]), idx=[2, 3]) + WhiteKernel(noise_level=0.00553)",3.001645,1000,1000,0.9335199,0.0055325924,-2.952969,0.0035457926,0.0025746854,0.99798799
10,warmup,11,"SliceKernel(base=RBF(length_scale=[3.03, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 0.81]), idx=[2, 3]) + WhiteKernel(noise_level=0.00527)",3.0269658,1000,1000,0.81028944,0.0052691835,-3.4034513,0.00332556,0.002275961,0.99805592
11,warmup,12,"SliceKernel(base=RBF(length_scale=[3.25, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 0.729]), idx=[2, 3]) + WhiteKernel(noise_level=0.00594)",3.2480374,1000,1000,0.72939855,0.0059367347,-4.2570761,0.0036931681,0.0030045385,0.99765747
