step,phase,M,acq_mean,acq_std,acq_min,acq_max,mu_mean,mu_std,mu_min,mu_max,sd_mean,sd_std,sd_min,sd_max,chosen_acq,chosen_mu,chosen_sd
35,active,1690,1.4057457949348806,0.421959832591246,0.01390279166897615,1.5699424133117026,2.35414689434569,0.08585347480275411,1.6969756056265086,2.8792539834778714,0.13503395373192986,0.04050989101235544,0.005422079039079497,0.1518035324134986,1.5699424133117026,2.2789228765697054,0.1518035324134986
36,active,1689,1.474196062569983,0.40303584460519715,0.014466365495379744,1.7025794923041337,2.3243646535462545,0.14420721905496947,1.6816762172183268,2.87727047635451,0.13842320775239228,0.03912050091739049,0.005285294520910692,0.1664617387390765,1.7025794923041337,1.997270438927873,0.1664617387390765
37,active,1688,1.5407590745532351,0.4014105536916278,0.015422044943166536,1.750766572783273,2.3014621400454764,0.166676171006065,1.6370693536977925,2.876993515058617,0.14187948934905853,0.03962028312885567,0.005213943673761694,0.1670795083086412,1.750766572783273,1.9202552854208668,0.1670795083086412
38,active,1687,1.55731748384713,0.40951791238640056,0.015751719607656627,1.765099201160977,2.290080189017276,0.17316627957007924,1.6370623081855902,2.8769289880784896,0.1412502648060893,0.04068424760778732,0.005140284689118988,0.16538431744652882,1.765099201160977,1.9105204788545647,0.16538431744652882
39,active,1686,1.536166023680143,0.41573833445244474,0.015358312361358302,1.741883792480163,2.2913434445285876,0.1704631088215686,1.637168549492688,2.8769922688443668,0.1380432748400762,0.04087412008562671,0.005059525651556041,0.1609907860129943,1.741883792480163,1.8668771725470394,0.1609907860129943
40,active,1685,1.8522693882662653,0.6313262250999218,0.00858459949616828,2.3672109724969443,2.3181751433694604,0.24762315485405884,1.3059106271378274,2.885339701205159,0.07862683380276222,0.03482830652039405,0.0014188931851952058,0.11451382957021275,2.3672109724969443,2.4774587445770764,0.11451382957021275
41,active,1684,1.7865710123534266,0.6140220390668625,0.008203029879737268,2.3169743900630144,2.3155051058392417,0.2466904372220814,1.307010330028951,2.8853832770383385,0.0741059379917509,0.03294114720301078,0.0014065171085694687,0.11040485666122136,2.3169743900630144,2.547014655659499,0.11040485666122136
42,active,1683,1.706334291049634,0.5921530616144306,0.007771883496193425,2.2711438794877976,2.2812764252126936,0.2577101366734083,1.2967128515205397,2.8857377113280114,0.06818586815151557,0.030562752525611307,0.0013776345575694348,0.10609294623171944,2.2711438794877976,1.772888961608355,0.10609294623171944
43,active,1682,1.6343093050707411,0.5837011624657694,0.00763849961887313,2.2379739810315313,2.29488745089281,0.2570312997684371,1.2928130352868106,2.885868531463987,0.06423680007951008,0.02956510612685112,0.0013874707507987019,0.10423140435066411,2.2379739810315313,2.5560683413927867,0.10423140435066411
44,active,1681,1.5851077732213141,0.5666596570403818,0.007337029396786043,2.181767952033855,2.292644669329876,0.25517255037305864,1.2961283080329864,2.885944100682948,0.06124299979223566,0.027879079699444528,0.001373858470539079,0.099499004267244,2.181767952033855,2.445450738002709,0.099499004267244
