step,phase,n,kernel,dist_ls0,dist_ls1,pos_ls0,pos_ls1,noise_var,LML,train_rmse,train_mae,train_r2
0,warmup,1,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-1.2655124,0,0,nan
1,warmup,2,"SliceKernel(base=RBF(length_scale=[0.00711, 26.3]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.156, 0.953]), idx=[2, 3]) + WhiteKernel(noise_level=1.3e-06)",0.0071103223,26.280633,0.15597404,0.95287875,1.2963993e-06,-3.0310246,1.7016005e-08,1.7016005e-08,1
2,warmup,3,"SliceKernel(base=RBF(length_scale=[0.00814, 0.0001]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.411, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",0.0081414513,0.0001,0.41099495,1000,1e-06,-4.5458477,4.7631975e-08,4.3627387e-08,1
3,warmup,4,"SliceKernel(base=RBF(length_scale=[1e+03, 1.33]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.41, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1000,1.3280443,1.4140328,1000,1e-06,-4.4930757,3.1221033e-07,2.7957616e-07,1
4,warmup,5,"SliceKernel(base=RBF(length_scale=[1.38, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 5.03]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1.3756318,1000,1000,5.033002,1e-06,-3.5008425,1.9548533e-06,1.7846081e-06,1
5,warmup,6,"SliceKernel(base=RBF(length_scale=[1.36, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 4.86]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1.3623902,1000,1000,4.8589804,1e-06,-1.5475125,5.1251393e-06,4.1895182e-06,1
6,warmup,7,"SliceKernel(base=RBF(length_scale=[1.33, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 3.04]), idx=[2, 3]) + WhiteKernel(noise_level=1e-06)",1.3339852,1000,1000,3.0369139,1e-06,0.0092363007,5.2293014e-06,4.428224e-06,1
7,warmup,8,"SliceKernel(base=RBF(length_scale=[1.17, 1e+03]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[6.81, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.000326)",1.1669891,1000,6.814661,1000,0.00032617729,1.5170997,0.0036494746,0.0027764032,0.99992357
8,warmup,9,"SliceKernel(base=RBF(length_scale=[1.23, 3.43]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[7.67, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.000238)",1.2319327,3.4250165,7.667093,1000,0.00023821032,3.8461867,0.0035228808,0.0025567188,0.99993487
9,warmup,10,"SliceKernel(base=RBF(length_scale=[1e+03, 0.931]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.000148)",1000,0.93082133,1000,1000,0.00014758924,5.5195568,0.0030005352,0.0022168603,0.99995457
10,warmup,11,"SliceKernel(base=RBF(length_scale=[1e+03, 0.919]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1e+03, 1e+03]), idx=[2, 3]) + WhiteKernel(noise_level=0.000159)",1000,0.91921884,1000,1000,0.0001588163,8.1332591,0.003416852,0.0026012648,0.99994116
